PO Number,Document Date,Posting Date,Material Code,Material Description,Short Text,Supplier Name,Order Quantity,Unit of Measure,Net Price,Currency,Subtotal Raw,FX Rate to INR,Total INR,Total In Crs,Material Group,Plant,Fiscal Year
PO-2025-450106,2025-04-15,2025-04-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,ABB Power Grids India Pvt Ltd,11,SET,2629,INR,28919,1,28919,0.0029,MRO,1000,FY26
PO-2025-450107,2025-05-15,2025-05-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Festo Pneumatics India Pvt Ltd,40,UNIT,102647,INR,4105880,1,4105880,0.4106,MRO,1010,FY26
PO-2025-450108,2025-06-15,2025-06-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Honeywell Industrial Automation,13,SET,16706,USD,217178,85.5,18568719,1.8569,MRO,1020,FY26
PO-2025-450109,2025-07-15,2025-07-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,SKF Bearing Technologies India,2,DRUM,54529,INR,109058,1,109058,0.0109,MRO,2000,FY26
PO-2025-450110,2025-08-15,2025-08-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Siemens Industrial Automation Ltd,1400,PCS,7382,EUR,10334800,92.4,954935520,95.4936,MRO,3000,FY26
PO-2025-450111,2025-09-15,2025-09-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,1500,BOX,69,USD,103500,85.5,8849250,0.8849,CONSUMABLES,1000,FY26
PO-2025-450112,2025-10-15,2025-10-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,65,PAIR,194,USD,12610,85.5,1078155,0.1078,CONSUMABLES,1010,FY26
PO-2025-450113,2025-11-15,2025-11-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,29,MT,1406,EUR,40774,92.4,3767518,0.3768,POLYMERS,1020,FY26
PO-2025-450114,2025-12-15,2025-12-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,31,MT,1326,EUR,41106,92.4,3798194,0.3798,POLYMERS,2000,FY26
PO-2026-450115,2026-01-15,2026-01-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,33,MT,1397,USD,46101,85.5,3941636,0.3942,POLYMERS,3000,FY26
PO-2026-450116,2026-02-15,2026-02-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,85,KL,166,USD,14110,85.5,1206405,0.1206,CHEMICAL,1000,FY26
PO-2026-450117,2026-03-15,2026-03-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,37,MT,371,INR,13727,1,13727,0.0014,CHEMICAL,1010,FY26
PO-2023-450118,2023-01-15,2023-01-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,2000,KG,2729,EUR,5458000,92.4,504319200,50.4319,CHEMICAL,1020,FY24
PO-2023-450119,2023-02-15,2023-02-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,41,MT,137,INR,5617,1,5617,0.0006,CHEMICAL,2000,FY24
PO-2023-450120,2023-03-15,2023-03-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,43,MT,950,USD,40850,85.5,3492675,0.3493,POLYMERS,3000,FY24
PO-2023-450121,2023-04-15,2023-04-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,150,KG,360,EUR,54000,92.4,4989600,0.499,CHEMICAL,1000,FY24
PO-2023-450122,2023-05-15,2023-05-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,2600,BOX,39,INR,101400,1,101400,0.0101,PACKAGING,1010,FY24
PO-2023-450123,2023-06-15,2023-06-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,250,KG,236,INR,59000,1,59000,0.0059,PACKAGING,1020,FY24
PO-2023-450124,2023-07-15,2023-07-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,2800,PCS,10,INR,28000,1,28000,0.0028,PACKAGING,2000,FY24
PO-2023-450125,2023-08-15,2023-08-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,30,ROLL,178,USD,5340,85.5,456570,0.0457,PACKAGING,3000,FY24
PO-2023-450126,2023-09-15,2023-09-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,35,ROLL,974,INR,34090,1,34090,0.0034,PACKAGING,1000,FY24
PO-2023-450127,2023-10-15,2023-10-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,3100,PCS,19,INR,58900,1,58900,0.0059,PACKAGING,1010,FY24
PO-2023-450128,2023-11-15,2023-11-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,9,DRUM,1532,INR,13788,1,13788,0.0014,PACKAGING,1020,FY24
PO-2023-450129,2023-12-15,2023-12-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,3M Safety & Industrial PPE Ltd,3,TRIP,66176,USD,198528,85.5,16974144,1.6974,FREIGHT,2000,FY24
PO-2024-450130,2024-01-15,2024-01-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Kuehne + Nagel Supply Chain Ltd,4,CONT,2624,USD,10496,85.5,897408,0.0897,FREIGHT,3000,FY25
PO-2024-450131,2024-02-15,2024-02-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,Blue Dart Express Domestic Freight,5,TRIP,94118,INR,470590,1,470590,0.0471,FREIGHT,1000,FY25
PO-2024-450132,2024-03-15,2024-03-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,TCI Freight Transport Logistics,65,MONTH,291176,INR,18926440,1,18926440,1.8926,FREIGHT,1010,FY25
PO-2024-450133,2024-04-15,2024-04-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,DHL Global Freight Solutions,750,KG,519,EUR,389250,92.4,35966700,3.5967,FREIGHT,1020,FY25
PO-2024-450134,2024-05-15,2024-05-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Festo Pneumatics India Pvt Ltd,3,SET,5671,INR,17013,1,17013,0.0017,MRO,2000,FY25
PO-2024-450135,2024-06-15,2024-06-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Honeywell Industrial Automation,80,UNIT,151176,USD,12094080,85.5,1034043840,103.4044,MRO,3000,FY25
PO-2024-450136,2024-07-15,2024-07-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,SKF Bearing Technologies India,5,SET,27059,INR,135295,1,135295,0.0135,MRO,1000,FY25
PO-2024-450137,2024-08-15,2024-08-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Siemens Industrial Automation Ltd,6,DRUM,45000,EUR,270000,92.4,24948000,2.4948,MRO,1010,FY25
PO-2024-450138,2024-09-15,2024-09-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,3M Safety & Industrial PPE Ltd,4200,PCS,4912,USD,20630400,85.5,1763899200,176.3899,MRO,1020,FY25
PO-2024-450139,2024-10-15,2024-10-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,4300,BOX,51,USD,219300,85.5,18750150,1.875,CONSUMABLES,2000,FY25
PO-2024-450140,2024-11-15,2024-11-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,105,PAIR,145,USD,15225,85.5,1301738,0.1302,CONSUMABLES,3000,FY25
PO-2024-450141,2024-12-15,2024-12-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,35,MT,1282,EUR,44870,92.4,4145988,0.4146,POLYMERS,1000,FY25
PO-2025-450142,2025-01-15,2025-01-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,37,MT,1203,EUR,44511,92.4,4112816,0.4113,POLYMERS,1010,FY26
PO-2025-450143,2025-02-15,2025-02-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,39,MT,1274,USD,49686,85.5,4248153,0.4248,POLYMERS,1020,FY26
PO-2025-450144,2025-03-15,2025-03-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,25,KL,145,USD,3625,85.5,309938,0.031,CHEMICAL,2000,FY26
PO-2025-450145,2025-04-15,2025-04-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,43,MT,332,INR,14276,1,14276,0.0014,CHEMICAL,3000,FY26
PO-2025-450146,2025-05-15,2025-05-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,1400,KG,2518,EUR,3525200,92.4,325728480,32.5728,CHEMICAL,1000,FY26
PO-2025-450147,2025-06-15,2025-06-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,47,MT,117,INR,5499,1,5499,0.0005,CHEMICAL,1010,FY26
PO-2025-450148,2025-07-15,2025-07-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,49,MT,1176,USD,57624,85.5,4926852,0.4927,POLYMERS,1020,FY26
PO-2025-450149,2025-08-15,2025-08-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,1550,KG,470,EUR,728500,92.4,67313400,6.7313,CHEMICAL,2000,FY26
PO-2025-450150,2025-09-15,2025-09-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,Signode Industrial Packaging Ltd,5400,BOX,58,INR,313200,1,313200,0.0313,PACKAGING,3000,FY26
PO-2025-450151,2025-10-15,2025-10-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Huhtamaki Flexible Packaging Ltd,1650,KG,294,INR,485100,1,485100,0.0485,PACKAGING,1000,FY26
PO-2025-450152,2025-11-15,2025-11-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Essel Propack Laminated Tubes,600,PCS,17,INR,10200,1,10200,0.001,PACKAGING,1010,FY26
PO-2025-450153,2025-12-15,2025-12-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,Amcor Packaging India Ltd,70,ROLL,216,INR,15120,1,15120,0.0015,PACKAGING,1020,FY26
PO-2026-450154,2026-01-15,2026-01-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,TCPL Packaging Containers,75,ROLL,850,INR,63750,1,63750,0.0064,PACKAGING,2000,FY26
PO-2026-450155,2026-02-15,2026-02-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Parksons Packaging Solutions,900,PCS,13,INR,11700,1,11700,0.0012,PACKAGING,3000,FY26
PO-2026-450156,2026-03-15,2026-03-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Universal Corrugators Pvt Ltd,13,DRUM,1321,INR,17173,1,17173,0.0017,PACKAGING,1000,FY26
PO-2023-450157,2023-01-15,2023-01-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,DHL Global Freight Solutions,1,TRIP,52059,EUR,52059,92.4,4810252,0.481,FREIGHT,1010,FY24
PO-2023-450158,2023-02-15,2023-02-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,Maersk Line Logistics India,2,CONT,2129,USD,4258,85.5,364059,0.0364,FREIGHT,1020,FY24
PO-2023-450159,2023-03-15,2023-03-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,3M Safety & Industrial PPE Ltd,3,TRIP,78235,USD,234705,85.5,20067278,2.0067,FREIGHT,2000,FY24
PO-2023-450160,2023-04-15,2023-04-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Kuehne + Nagel Supply Chain Ltd,105,MONTH,220588,USD,23161740,85.5,1980328770,198.0329,FREIGHT,3000,FY24
PO-2023-450161,2023-05-15,2023-05-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,Blue Dart Express Domestic Freight,150,KG,427,INR,64050,1,64050,0.0064,FREIGHT,1000,FY24
PO-2023-450162,2023-06-15,2023-06-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,Honeywell Industrial Automation,7,SET,4012,USD,28084,85.5,2401182,0.2401,MRO,1010,FY24
PO-2023-450163,2023-07-15,2023-07-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,SKF Bearing Technologies India,20,UNIT,124706,INR,2494120,1,2494120,0.2494,MRO,1020,FY24
PO-2023-450164,2023-08-15,2023-08-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,Siemens Industrial Automation Ltd,9,SET,21412,EUR,192708,92.4,17806219,1.7806,MRO,2000,FY24
PO-2023-450165,2023-09-15,2023-09-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,3M Safety & Industrial PPE Ltd,10,DRUM,62471,USD,624710,85.5,53412705,5.3413,MRO,3000,FY24
PO-2023-450166,2023-10-15,2023-10-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Schneider Electric Power Systems,2000,PCS,9441,INR,18882000,1,18882000,1.8882,MRO,1000,FY24
PO-2023-450167,2023-11-15,2023-11-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,2100,BOX,83,USD,174300,85.5,14902650,1.4903,CONSUMABLES,1010,FY24
PO-2023-450168,2023-12-15,2023-12-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,45,PAIR,235,USD,10575,85.5,904163,0.0904,CONSUMABLES,1020,FY24
PO-2024-450169,2024-01-15,2024-01-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,41,MT,1509,EUR,61869,92.4,5716696,0.5717,POLYMERS,2000,FY25
PO-2024-450170,2024-02-15,2024-02-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,43,MT,1429,EUR,61447,92.4,5677703,0.5678,POLYMERS,3000,FY25
PO-2024-450171,2024-03-15,2024-03-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,45,MT,1150,USD,51750,85.5,4424625,0.4425,POLYMERS,1000,FY25
PO-2024-450172,2024-04-15,2024-04-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,65,KL,124,USD,8060,85.5,689130,0.0689,CHEMICAL,1010,FY25
PO-2024-450173,2024-05-15,2024-05-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,49,MT,293,INR,14357,1,14357,0.0014,CHEMICAL,1020,FY25
PO-2024-450174,2024-06-15,2024-06-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,800,KG,2306,EUR,1844800,92.4,170459520,17.046,CHEMICAL,2000,FY25
PO-2024-450175,2024-07-15,2024-07-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,53,MT,98,INR,5194,1,5194,0.0005,CHEMICAL,3000,FY25
PO-2024-450176,2024-08-15,2024-08-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,5,MT,1053,USD,5265,85.5,450158,0.045,POLYMERS,1000,FY25
PO-2024-450177,2024-09-15,2024-09-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,950,KG,410,EUR,389500,92.4,35989800,3.599,CHEMICAL,1010,FY25
PO-2024-450178,2024-10-15,2024-10-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,TCPL Packaging Containers,3200,BOX,47,INR,150400,1,150400,0.015,PACKAGING,1020,FY25
PO-2024-450179,2024-11-15,2024-11-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Parksons Packaging Solutions,1050,KG,262,INR,275100,1,275100,0.0275,PACKAGING,2000,FY25
PO-2024-450180,2024-12-15,2024-12-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Universal Corrugators Pvt Ltd,3400,PCS,13,INR,44200,1,44200,0.0044,PACKAGING,3000,FY25
PO-2025-450181,2025-01-15,2025-01-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,3M Safety & Industrial PPE Ltd,10,ROLL,195,USD,1950,85.5,166725,0.0167,PACKAGING,1000,FY26
PO-2025-450182,2025-02-15,2025-02-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,Signode Industrial Packaging Ltd,15,ROLL,1076,INR,16140,1,16140,0.0016,PACKAGING,1010,FY26
PO-2025-450183,2025-03-15,2025-03-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Huhtamaki Flexible Packaging Ltd,3700,PCS,23,INR,85100,1,85100,0.0085,PACKAGING,1020,FY26
PO-2025-450184,2025-04-15,2025-04-15,PKG-20107,HDPE Plastic Drums 200 Litres Capacity,HDPE Plastic Drums 200 Litres Capacity,Essel Propack Laminated Tubes,5,DRUM,1709,INR,8545,1,8545,0.0009,PACKAGING,2000,FY26
PO-2025-450185,2025-05-15,2025-05-15,FRT-30101,Road FTL 32-Foot Multi-Axle Container Trucking,Road FTL 32-Foot Multi-Axle Container Trucking,Blue Dart Express Domestic Freight,5,TRIP,77941,INR,389705,1,389705,0.039,FREIGHT,3000,FY26
PO-2025-450186,2025-06-15,2025-06-15,FRT-30102,40ft High Cube Ocean Freight Container Shipping,40ft High Cube Ocean Freight Container Shipping,TCI Freight Transport Logistics,6,CONT,3035,INR,18210,1,18210,0.0018,FREIGHT,1000,FY26
PO-2025-450187,2025-07-15,2025-07-15,FRT-30103,Cold Chain Refrigerated Express Transport,Cold Chain Refrigerated Express Transport,DHL Global Freight Solutions,1,TRIP,107353,EUR,107353,92.4,9919417,0.9919,FREIGHT,1010,FY26
PO-2025-450188,2025-08-15,2025-08-15,FRT-30104,Warehouse 3PL Material Staging & Storage Services,Warehouse 3PL Material Staging & Storage Services,Maersk Line Logistics India,45,MONTH,150000,USD,6750000,85.5,577125000,57.7125,FREIGHT,1020,FY26
PO-2025-450189,2025-09-15,2025-09-15,FRT-30105,Air Cargo Express Customs Cleared Freight,Air Cargo Express Customs Cleared Freight,3M Safety & Industrial PPE Ltd,1550,KG,335,USD,519250,85.5,44395875,4.4396,FREIGHT,2000,FY26
PO-2025-450190,2025-10-15,2025-10-15,MRO-40101,Deep Groove Ball Bearings SKF Explorer Series,Deep Groove Ball Bearings SKF Explorer Series,SKF Bearing Technologies India,11,SET,2353,INR,25883,1,25883,0.0026,MRO,3000,FY26
PO-2025-450191,2025-11-15,2025-11-15,MRO-40102,Variable Frequency Drives (VFD) 45kW Inverter,Variable Frequency Drives (VFD) 45kW Inverter,Siemens Industrial Automation Ltd,60,UNIT,98235,EUR,5894100,92.4,544614840,54.4615,MRO,1000,FY26
PO-2025-450192,2025-12-15,2025-12-15,MRO-40103,Centrifugal Slurry Pump Impeller Mechanical Seals,Centrifugal Slurry Pump Impeller Mechanical Seals,3M Safety & Industrial PPE Ltd,13,SET,15765,USD,204945,85.5,17522798,1.7523,MRO,1010,FY26
PO-2026-450193,2026-01-15,2026-01-15,MRO-40104,Industrial Synthetic Gear Oil ISO VG 220 Drum,Industrial Synthetic Gear Oil ISO VG 220 Drum,Schneider Electric Power Systems,2,DRUM,52941,INR,105882,1,105882,0.0106,MRO,1020,FY26
PO-2026-450194,2026-02-15,2026-02-15,MRO-40105,Pneumatic Actuator Solenoid Directional Valves,Pneumatic Actuator Solenoid Directional Valves,Atlas Copco Compressor India,4800,PCS,6971,INR,33460800,1,33460800,3.3461,MRO,2000,FY26
PO-2026-450195,2026-03-15,2026-03-15,PPE-50101,3M Industrial N95 Filtering Facepiece Respirators,3M Industrial N95 Filtering Facepiece Respirators,3M Safety & Industrial PPE Ltd,4900,BOX,66,USD,323400,85.5,27650700,2.7651,CONSUMABLES,3000,FY26
PO-2023-450196,2023-01-15,2023-01-15,PPE-50102,Heavy Duty Nitrile Chemical Protection Gloves,Heavy Duty Nitrile Chemical Protection Gloves,3M Safety & Industrial PPE Ltd,85,PAIR,186,USD,15810,85.5,1351755,0.1352,CONSUMABLES,1000,FY24
PO-2023-450197,2023-02-15,2023-02-15,MAT-10101,High Density Polyethylene (HDPE) Polymers,High Density Polyethylene (HDPE) Polymers,Contoso Polymer Logistics Ltd,47,MT,1385,EUR,65095,92.4,6014778,0.6015,POLYMERS,1010,FY24
PO-2023-450198,2023-03-15,2023-03-15,MAT-10102,Polypropylene (PP) Injection Moulding Resin,Polypropylene (PP) Injection Moulding Resin,Basell Polyolefins Europe NV,49,MT,1306,EUR,63994,92.4,5913046,0.5913,POLYMERS,1020,FY24
PO-2023-450199,2023-04-15,2023-04-15,MAT-10103,Linear Low-Density Polyethylene (LLDPE) Film Grade,Linear Low-Density Polyethylene (LLDPE) Film Grade,3M Safety & Industrial PPE Ltd,51,MT,1376,USD,70176,85.5,6000048,0.6,POLYMERS,2000,FY24
PO-2023-450200,2023-05-15,2023-05-15,MAT-10201,Hydrochloric Acid 33% Industrial Grade,Hydrochloric Acid 33% Industrial Grade,Dow Chemical Americas Inc,105,KL,162,USD,17010,85.5,1454355,0.1454,CHEMICAL,3000,FY24
PO-2023-450201,2023-06-15,2023-06-15,MAT-10202,Caustic Soda Lye 48% Bulk Solution,Caustic Soda Lye 48% Bulk Solution,Pidilite Industrial Adhesives Ltd,5,MT,364,INR,1820,1,1820,0.0002,CHEMICAL,1000,FY24
PO-2023-450202,2023-07-15,2023-07-15,MAT-10203,Titanium Dioxide Rutile White Pigment,Titanium Dioxide Rutile White Pigment,BASF Speciality Chemicals SE,200,KG,2694,EUR,538800,92.4,49785120,4.9785,CHEMICAL,1010,FY24
PO-2023-450203,2023-08-15,2023-08-15,MAT-10204,Sulfuric Acid 98% Commercial Grade,Sulfuric Acid 98% Commercial Grade,UPL Agro & Bulk Chemical Corp,9,MT,134,INR,1206,1,1206,0.0001,CHEMICAL,1020,FY24
PO-2023-450204,2023-09-15,2023-09-15,MAT-10104,Polyvinyl Chloride (PVC) Suspension Resin,Polyvinyl Chloride (PVC) Suspension Resin,SABIC Petrochemical Middle East,11,MT,1279,USD,14069,85.5,1202900,0.1203,POLYMERS,2000,FY24
PO-2023-450205,2023-10-15,2023-10-15,MAT-10205,Industrial Synthetic Adhesives & Sealants,Industrial Synthetic Adhesives & Sealants,Borealis Chemical Supply GmbH,350,KG,350,EUR,122500,92.4,11319000,1.1319,CHEMICAL,3000,FY24
PO-2023-450206,2023-11-15,2023-11-15,PKG-20101,5-Ply Corrugated Heavy Duty Shipping Boxes,5-Ply Corrugated Heavy Duty Shipping Boxes,Signode Industrial Packaging Ltd,1000,BOX,37,INR,37000,1,37000,0.0037,PACKAGING,1000,FY24
PO-2023-450207,2023-12-15,2023-12-15,PKG-20102,Printed Multi-Layer Flexible Packaging Laminates,Printed Multi-Layer Flexible Packaging Laminates,Huhtamaki Flexible Packaging Ltd,450,KG,231,INR,103950,1,103950,0.0104,PACKAGING,1010,FY24
PO-2024-450208,2024-01-15,2024-01-15,PKG-20103,Mono Carton Packaging Printed Paperboard,Mono Carton Packaging Printed Paperboard,Essel Propack Laminated Tubes,1200,PCS,10,INR,12000,1,12000,0.0012,PACKAGING,1020,FY25
PO-2024-450209,2024-02-15,2024-02-15,PKG-20104,Automatic Stretch Film Wrapping Rolls 23 Microns,Automatic Stretch Film Wrapping Rolls 23 Microns,Amcor Packaging India Ltd,50,ROLL,174,INR,8700,1,8700,0.0009,PACKAGING,2000,FY25
PO-2024-450210,2024-03-15,2024-03-15,PKG-20105,Polypropylene Heavy Duty Strapping Bands,Polypropylene Heavy Duty Strapping Bands,TCPL Packaging Containers,55,ROLL,953,INR,52415,1,52415,0.0052,PACKAGING,3000,FY25
PO-2024-450211,2024-04-15,2024-04-15,PKG-20106,Laminated Barrier Tubes for Specialty Liquids,Laminated Barrier Tubes for Specialty Liquids,Parksons Packaging Solutions,1500,PCS,18,INR,27000,1,27000,0.0027,PACKAGING,1000,FY25
